path,left,right,forward,backward,brake
outputs/training_data/1.jpeg,1,0,1,0,0
outputs/training_data/vertically_flipped_1.jpeg,1,0,1,0,0
outputs/training_data/horizontally_flipped_1.jpeg,1,0,1,0,0
outputs/training_data/2.jpeg,1,0,1,0,0
outputs/training_data/vertically_flipped_2.jpeg,1,0,1,0,0
outputs/training_data/horizontally_flipped_2.jpeg,1,0,1,0,0
outputs/training_data/3.jpeg,1,0,1,0,0
outputs/training_data/vertically_flipped_3.jpeg,1,0,1,0,0
outputs/training_data/horizontally_flipped_3.jpeg,1,0,1,0,0
outputs/training_data/4.jpeg,1,0,1,0,0
outputs/training_data/vertically_flipped_4.jpeg,1,0,1,0,0
outputs/training_data/horizontally_flipped_4.jpeg,1,0,1,0,0
outputs/training_data/5.jpeg,1,0,1,0,0
outputs/training_data/vertically_flipped_5.jpeg,1,0,1,0,0
outputs/training_data/horizontally_flipped_5.jpeg,1,0,1,0,0
outputs/training_data/6.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_6.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_6.jpeg,0,0,0,0,1
outputs/training_data/7.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_7.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_7.jpeg,0,0,0,0,1
outputs/training_data/8.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_8.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_8.jpeg,0,0,0,0,1
outputs/training_data/9.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_9.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_9.jpeg,0,0,0,0,1
outputs/training_data/10.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_10.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_10.jpeg,0,0,0,0,1
outputs/training_data/11.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_11.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_11.jpeg,0,0,0,0,1
outputs/training_data/12.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_12.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_12.jpeg,0,0,0,0,1
outputs/training_data/13.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_13.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_13.jpeg,0,0,0,0,1
outputs/training_data/14.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_14.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_14.jpeg,0,0,0,0,1
outputs/training_data/15.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_15.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_15.jpeg,0,0,0,0,1
outputs/training_data/16.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_16.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_16.jpeg,0,0,0,0,1
outputs/training_data/17.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_17.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_17.jpeg,0,0,0,0,1
outputs/training_data/18.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_18.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_18.jpeg,0,0,0,0,1
outputs/training_data/19.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_19.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_19.jpeg,0,0,0,0,1
outputs/training_data/20.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_20.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_20.jpeg,0,0,0,0,1
outputs/training_data/21.jpeg,0,1,0,0,1
outputs/training_data/vertically_flipped_21.jpeg,0,1,0,0,1
outputs/training_data/horizontally_flipped_21.jpeg,0,1,0,0,1
outputs/training_data/22.jpeg,0,1,0,0,1
outputs/training_data/vertically_flipped_22.jpeg,0,1,0,0,1
outputs/training_data/horizontally_flipped_22.jpeg,0,1,0,0,1
outputs/training_data/23.jpeg,0,1,1,0,0
outputs/training_data/vertically_flipped_23.jpeg,0,1,1,0,0
outputs/training_data/horizontally_flipped_23.jpeg,0,1,1,0,0
outputs/training_data/24.jpeg,0,1,1,0,0
outputs/training_data/vertically_flipped_24.jpeg,0,1,1,0,0
outputs/training_data/horizontally_flipped_24.jpeg,0,1,1,0,0
outputs/training_data/25.jpeg,0,1,1,0,0
outputs/training_data/vertically_flipped_25.jpeg,0,1,1,0,0
outputs/training_data/horizontally_flipped_25.jpeg,0,1,1,0,0
outputs/training_data/26.jpeg,0,1,1,0,0
outputs/training_data/vertically_flipped_26.jpeg,0,1,1,0,0
outputs/training_data/horizontally_flipped_26.jpeg,0,1,1,0,0
outputs/training_data/27.jpeg,0,1,1,0,0
outputs/training_data/vertically_flipped_27.jpeg,0,1,1,0,0
outputs/training_data/horizontally_flipped_27.jpeg,0,1,1,0,0
outputs/training_data/28.jpeg,0,0,1,0,0
outputs/training_data/vertically_flipped_28.jpeg,0,0,1,0,0
outputs/training_data/horizontally_flipped_28.jpeg,0,0,1,0,0
outputs/training_data/29.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_29.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_29.jpeg,0,0,0,0,1
outputs/training_data/30.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_30.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_30.jpeg,0,0,0,0,1
outputs/training_data/31.jpeg,0,0,0,0,1
outputs/training_data/vertically_flipped_31.jpeg,0,0,0,0,1
outputs/training_data/horizontally_flipped_31.jpeg,0,0,0,0,1
outputs/training_data/32.jpeg,0,0,0,0,1
